race_eth,Deaths,month_year
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
,NA,NA
American Indian or Alaska Native,NA,2018-01-01
American Indian or Alaska Native,NA,2018-07-01
American Indian or Alaska Native,NA,2018-08-01
American Indian or Alaska Native,NA,2018-10-01
American Indian or Alaska Native,NA,2018-11-01
American Indian or Alaska Native,NA,2019-01-01
American Indian or Alaska Native,NA,2019-02-01
American Indian or Alaska Native,NA,2019-03-01
American Indian or Alaska Native,NA,2019-04-01
American Indian or Alaska Native,NA,2019-09-01
American Indian or Alaska Native,NA,2019-11-01
American Indian or Alaska Native,NA,2019-12-01
American Indian or Alaska Native,NA,2020-02-01
American Indian or Alaska Native,NA,2020-05-01
American Indian or Alaska Native,NA,2020-11-01
American Indian or Alaska Native,NA,2021-02-01
American Indian or Alaska Native,NA,2021-03-01
American Indian or Alaska Native,NA,2021-09-01
American Indian or Alaska Native,NA,2022-07-01
American Indian or Alaska Native,NA,2022-09-01
American Indian or Alaska Native,NA,2022-11-01
American Indian or Alaska Native,NA,2023-06-01
American Indian or Alaska Native,NA,2023-09-01
American Indian or Alaska Native,NA,2024-05-01
American Indian or Alaska Native,NA,2024-06-01
American Indian or Alaska Native,NA,2024-07-01
American Indian or Alaska Native,NA,2024-08-01
American Indian or Alaska Native,NA,2024-11-01
American Indian or Alaska Native,NA,2025-05-01
American Indian or Alaska Native,NA,2025-07-01
American Indian or Alaska Native,NA,2025-10-01
American Indian or Alaska Native,NA,2025-12-01
American Indian or Alaska Native,NA,2026-03-01
Asian,14,2018-02-01
Asian,10,2018-07-01
Asian,12,2018-09-01
Asian,10,2018-11-01
Asian,12,2018-12-01
Asian,12,2019-01-01
Asian,13,2019-06-01
Asian,11,2019-07-01
Asian,10,2019-09-01
Asian,10,2019-10-01
Asian,23,2020-02-01
Asian,11,2020-04-01
Asian,11,2020-05-01
Asian,14,2020-06-01
Asian,10,2020-07-01
Asian,12,2020-08-01
Asian,12,2020-11-01
Asian,11,2021-02-01
Asian,12,2021-03-01
Asian,15,2021-04-01
Asian,10,2021-05-01
Asian,14,2021-07-01
Asian,20,2021-09-01
Asian,12,2021-10-01
Asian,11,2022-03-01
Asian,10,2022-04-01
Asian,10,2022-05-01
Asian,12,2022-06-01
Asian,10,2022-08-01
Asian,21,2022-09-01
Asian,14,2023-03-01
Asian,18,2023-05-01
Asian,12,2023-08-01
Asian,14,2023-09-01
Asian,11,2023-12-01
Asian,13,2024-02-01
Asian,10,2024-04-01
Asian,11,2024-05-01
Asian,21,2024-08-01
Asian,13,2024-09-01
Asian,14,2024-10-01
Asian,12,2025-01-01
Asian,13,2025-02-01
Asian,10,2025-03-01
Asian,11,2025-04-01
Asian,18,2025-05-01
Asian,12,2025-06-01
Asian,12,2025-07-01
Asian,11,2025-09-01
Asian,15,2025-11-01
Asian,13,2025-12-01
Asian,NA,2026-03-01
Black or African American,102,2018-01-01
Black or African American,78,2018-02-01
Black or African American,68,2018-03-01
Black or African American,71,2018-04-01
Black or African American,77,2018-05-01
Black or African American,67,2018-06-01
Black or African American,74,2018-07-01
Black or African American,69,2018-08-01
Black or African American,73,2018-09-01
Black or African American,78,2018-10-01
Black or African American,77,2018-11-01
Black or African American,93,2018-12-01
Black or African American,71,2019-01-01
Black or African American,77,2019-02-01
Black or African American,91,2019-03-01
Black or African American,76,2019-04-01
Black or African American,86,2019-05-01
Black or African American,72,2019-06-01
Black or African American,79,2019-07-01
Black or African American,79,2019-08-01
Black or African American,67,2019-09-01
Black or African American,76,2019-10-01
Black or African American,87,2019-11-01
Black or African American,90,2019-12-01
Black or African American,76,2020-01-01
Black or African American,67,2020-02-01
Black or African American,75,2020-03-01
Black or African American,104,2020-04-01
Black or African American,96,2020-05-01
Black or African American,111,2020-06-01
Black or African American,129,2020-07-01
Black or African American,113,2020-08-01
Black or African American,104,2020-09-01
Black or African American,103,2020-10-01
Black or African American,106,2020-11-01
Black or African American,96,2020-12-01
Black or African American,118,2021-01-01
Black or African American,104,2021-02-01
Black or African American,102,2021-03-01
Black or African American,90,2021-04-01
Black or African American,115,2021-05-01
Black or African American,95,2021-06-01
Black or African American,99,2021-07-01
Black or African American,176,2021-08-01
Black or African American,201,2021-09-01
Black or African American,131,2021-10-01
Black or African American,87,2021-11-01
Black or African American,111,2021-12-01
Black or African American,136,2022-01-01
Black or African American,110,2022-02-01
Black or African American,112,2022-03-01
Black or African American,104,2022-04-01
Black or African American,108,2022-05-01
Black or African American,106,2022-06-01
Black or African American,97,2022-07-01
Black or African American,90,2022-08-01
Black or African American,110,2022-09-01
Black or African American,99,2022-10-01
Black or African American,113,2022-11-01
Black or African American,109,2022-12-01
Black or African American,114,2023-01-01
Black or African American,83,2023-02-01
Black or African American,98,2023-03-01
Black or African American,97,2023-04-01
Black or African American,126,2023-05-01
Black or African American,111,2023-06-01
Black or African American,109,2023-07-01
Black or African American,86,2023-08-01
Black or African American,107,2023-09-01
Black or African American,111,2023-10-01
Black or African American,114,2023-11-01
Black or African American,112,2023-12-01
Black or African American,92,2024-01-01
Black or African American,98,2024-02-01
Black or African American,116,2024-03-01
Black or African American,84,2024-04-01
Black or African American,122,2024-05-01
Black or African American,97,2024-06-01
Black or African American,95,2024-07-01
Black or African American,96,2024-08-01
Black or African American,97,2024-09-01
Black or African American,89,2024-10-01
Black or African American,81,2024-11-01
Black or African American,92,2024-12-01
Black or African American,97,2025-01-01
Black or African American,91,2025-02-01
Black or African American,97,2025-03-01
Black or African American,94,2025-04-01
Black or African American,98,2025-05-01
